"SKU","ProductName","WarehouseName","Loc1","Loc2","Loc3","Loc4","OnHand","ReorderThreshold"
"0307-BLC-3x8v1","Ritual Black/Beige Area Rug","","","","","","0","0"
"TWL-GREEN-H2","Bath Towels set 2 Bath or 2 Hand Towels Gym Spa 100% Cotton[16*28 Inch,Green]","Inventory Warehouse","A","No","No","No","199","0"
"7510-BLU-WHT-5x7","Rug Carpet Pad for Living Room Protects Floor From Dust - Multi Size and Color[5' x 7',Blue]","Inventory Warehouse","A","No","No","No","46","0"
"7500-GRY/BLU-8x10","Contemporary Area Rug, Pad Protects Floor Multi Size and Color[Gray Blue,8' x 10']","","","","","","0","0"
"0108-BEIGE-2x7v1","Nairobi-Group2","","","","","","0","0"
"FW333-Gold-2x3.6","Kingdom Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 333 - Gold / 2' x 3.6'","","","","","","0","0"
"FW444-DkBrn-4x6","Home Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 444 - Dark Brown / 4' x 6'","","","","","","0","0"
"FW444-DkBrn-2X3.6","Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets[Brown,2' x 3']","","","","","","0","0"
"NWR350REDBLU24.60","Print Bath Mat  runner Pattern Floor Mat Kitchen Area Rugs Carpets [350RED-BLUE]","","","","","","0","0"
"558-Green-Beige-5x8","Mats Flatweave Indoor Outdoor Rugs with Contemporary Breeze Design Area Rugs Patio Rug Flooring Carpets 5x8 (4'11''x7'10'', Green)","","","","","","0","0"
"TWL-LVNDR-H2","Bath Towels set 2 Bath or 2 Hand Towels Gym Spa 100% Cotton[16*28 Inch,Purple]","Inventory Warehouse","A","No","No","No","200","0"
"NWR250BRNBLC24.60","Bath 1-set 24x60"" Newruz Print Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet - Black-White","","","","","","0","0"
"NWR250BRNBLC16.24x16.47","Print Bath Mat 2PCS/Set Pattern Floor Mat Kitchen Area Rugs Carpets [250BROWN-BLACK]","","","","","","0","0"
"0108-BEIGE-5x7v1","Oriental Classic Beige Area Rug","","","","","","0","0"
"MNC-300-BEI-BRW-23","Area Rugs Contemporary Carpet Made in Turkey - Color and Size Options[Brown,2' x 3']","Inventory Warehouse","A","No","No","No","10","0"
"7502-BLU-WHT-5*7","7502  Area Rugs /Living room runner 2X3 3X8 4X5 5x7 8X10 Size By MSRUGS - Made F[5' x 7',Blue White]","","","","","","0","0"
"7512-RED-3x5","Rug Carpet Pad for Living Room Protect Your Floor From Dust, Multi Size & Color[3' x 5',Red-Black]","","","","","","0","0"
"FW511-GREEN-8X10","Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets[Green,8' x 10']","","","","","","0","0"
"0307-GLD-3x8v1","Ritual Gold/Beige Area Rug","","","","","","0","0"
"28657867-000-000","Original Rosemarie Floweret Brown Area Rug","","","","","","0","0"
"28657884-000-000","Passion fruit Vintage Area Rug","","","","","","0","0"
"28657928-000-000","Colibri Shaggy 3D Gray/Black Area rug","","","","","","0","0"
